observed_at,city,lat,lon,temperature_c,humidity_pct,wind_kmh,weather_code,weather,api_time_utc
2026-09-17T18:34:32+00:00,Sydney,-33.87,151.21,9.1,94,5.0,0,Clear,2026-09-17T18:30
2026-09-17T18:34:32+00:00,Tokyo,35.68,139.69,19.1,82,6.9,1,Mainly clear,2026-09-17T18:30
2026-09-18T01:01:55+00:00,Bozeman,45.68,-111.04,20.1,48,6.3,3,Overcast,2026-09-18T01:00
2026-09-18T01:01:55+00:00,London,51.51,-0.13,14.3,72,11.5,2,Partly cloudy,2026-09-18T01:00
2026-09-18T01:01:55+00:00,New York,40.71,-74.01,23.9,81,13.7,3,Overcast,2026-09-18T01:00
2026-09-18T01:01:55+00:00,Seattle,47.61,-122.33,20.9,47,5.4,0,Clear,2026-09-18T01:00
2026-09-18T01:01:55+00:00,Sydney,-33.87,151.21,20.2,28,5.8,0,Clear,2026-09-18T01:00
2026-09-18T01:01:55+00:00,Tokyo,35.68,139.69,22.4,72,7.3,2,Partly cloudy,2026-09-18T01:00
2026-09-18T06:44:04+00:00,Bozeman,45.68,-111.04,14.6,52,9.5,3,Overcast,2026-09-18T06:30
2026-09-18T06:44:04+00:00,London,51.51,-0.13,12.0,80,9.4,3,Overcast,2026-09-18T06:30
2026-09-18T06:44:04+00:00,New York,40.71,-74.01,23.1,88,6.9,3,Overcast,2026-09-18T06:30
2026-09-18T06:44:04+00:00,Seattle,47.61,-122.33,15.3,62,3.8,0,Clear,2026-09-18T06:30
2026-09-18T06:44:04+00:00,Sydney,-33.87,151.21,20.9,45,13.1,1,Mainly clear,2026-09-18T06:30
2026-09-18T06:44:04+00:00,Tokyo,35.68,139.69,22.5,74,5.9,3,Overcast,2026-09-18T06:30
